date,employee_id,employee_name,role,department,sales_count,sales_value,customer_satisfaction,attendance,productivity_score
2024-09-29,3,Mia Wilson,Marketing Coordinator,Marketing,0,0,4.2,1.0,80.6
2024-09-29,6,Evelyn Brown,Digital Marketer,Marketing,1,650,5.0,1.0,78.3
2024-09-29,5,Benjamin Garcia,Sales Manager,Sales,10,1730,3.1,1.0,93.7
2024-09-29,11,Sophia Brown,Marketing Coordinator,Marketing,5,2680,3.7,1.0,91.9
2024-09-29,20,Emma Robinson,Warehouse Associate,Warehouse,0,0,3.8,1.0,72.3
2024-09-29,15,William Thompson,Office Manager,Administration,1,602,4.6,1.0,67.5
2024-09-29,16,Emma Taylor,Customer Service Manager,Customer Service,1,984,3.7,1.0,89.1
2024-09-29,8,Isabella Miller,Warehouse Manager,Warehouse,1,195,4.0,1.0,87.8
2024-09-29,13,Olivia Moore,Customer Service Manager,Customer Service,3,2865,3.9,1.0,99.1
2024-09-29,2,Alexander Martin,Receptionist,Administration,1,663,4.7,1.0,94.5
2024-09-30,3,Mia Wilson,Marketing Coordinator,Marketing,0,0,4.7,1.0,83.0
2024-09-30,10,Ethan Garcia,Administrative Assistant,Administration,5,1710,3.1,1.0,74.4
2024-09-30,12,John Davis,Office Manager,Administration,5,715,3.4,1.0,93.8
2024-09-30,13,Olivia Moore,Customer Service Manager,Customer Service,4,664,3.3,1.0,82.0
2024-09-30,6,Evelyn Brown,Digital Marketer,Marketing,5,2880,3.7,1.0,93.8
2024-09-30,18,Isabella Williams,Sales Associate,Sales,12,7560,3.8,1.0,78.3
2024-09-30,5,Benjamin Garcia,Sales Manager,Sales,10,7230,3.7,1.0,91.5
2024-09-30,9,Charlotte White,Administrative Assistant,Administration,2,1650,3.6,1.0,88.0
2024-09-30,16,Emma Taylor,Customer Service Manager,Customer Service,4,3400,4.0,1.0,97.0
2024-09-30,14,Ethan White,Warehouse Associate,Warehouse,0,0,5.0,1.0,71.6
2024-09-30,4,Isabella Garcia,Shipping Coordinator,Warehouse,4,2428,4.2,1.0,86.1
2024-09-30,8,Isabella Miller,Warehouse Manager,Warehouse,5,3105,3.4,1.0,93.4
2024-09-30,17,Isabella White,Administrative Assistant,Administration,5,4230,4.6,1.0,64.6
2024-09-30,15,William Thompson,Office Manager,Administration,3,2673,4.8,1.0,98.8
2024-09-30,11,Sophia Brown,Marketing Coordinator,Marketing,4,2640,4.3,1.0,97.0
2024-10-01,4,Isabella Garcia,Shipping Coordinator,Warehouse,5,3300,3.9,1.0,95.3
2024-10-01,9,Charlotte White,Administrative Assistant,Administration,2,1818,3.4,1.0,76.2
2024-10-01,6,Evelyn Brown,Digital Marketer,Marketing,0,0,3.6,1.0,60.1
2024-10-01,10,Ethan Garcia,Administrative Assistant,Administration,2,412,3.8,1.0,86.5
2024-10-01,5,Benjamin Garcia,Sales Manager,Sales,16,14240,4.1,1.0,75.6
2024-10-01,2,Alexander Martin,Receptionist,Administration,3,675,4.2,1.0,61.9
2024-10-01,14,Ethan White,Warehouse Associate,Warehouse,3,2511,4.5,1.0,94.2
2024-10-01,18,Isabella Williams,Sales Associate,Sales,3,1962,3.2,1.0,61.0
2024-10-01,3,Mia Wilson,Marketing Coordinator,Marketing,4,2640,4.2,1.0,80.9
2024-10-01,12,John Davis,Office Manager,Administration,1,176,3.3,1.0,79.7
2024-10-01,11,Sophia Brown,Marketing Coordinator,Marketing,0,0,3.9,1.0,66.3
2024-10-01,15,William Thompson,Office Manager,Administration,1,175,3.7,1.0,85.4
2024-10-01,13,Olivia Moore,Customer Service Manager,Customer Service,4,1544,3.6,1.0,90.6
2024-10-01,7,Benjamin Garcia,Support Specialist,Customer Service,3,816,3.2,1.0,90.0
2024-10-01,1,John Williams,Sales Representative,Sales,11,2772,4.2,1.0,71.9
2024-10-01,16,Emma Taylor,Customer Service Manager,Customer Service,2,1640,3.6,1.0,60.1
2024-10-01,17,Isabella White,Administrative Assistant,Administration,4,1604,3.9,1.0,69.4
2024-10-01,8,Isabella Miller,Warehouse Manager,Warehouse,5,1760,4.2,1.0,98.4
2024-10-01,19,James Miller,Marketing Specialist,Marketing,3,2925,5.0,1.0,62.3
2024-10-02,10,Ethan Garcia,Administrative Assistant,Administration,2,444,4.5,1.0,60.8
2024-10-02,17,Isabella White,Administrative Assistant,Administration,2,1242,4.7,1.0,83.7
2024-10-02,6,Evelyn Brown,Digital Marketer,Marketing,4,3168,3.7,1.0,96.1
2024-10-02,4,Isabella Garcia,Shipping Coordinator,Warehouse,4,2036,4.4,1.0,79.3
2024-10-02,13,Olivia Moore,Customer Service Manager,Customer Service,4,2084,4.6,1.0,73.3
2024-10-02,14,Ethan White,Warehouse Associate,Warehouse,0,0,3.4,1.0,100.0
2024-10-02,18,Isabella Williams,Sales Associate,Sales,7,5733,3.7,1.0,93.0
2024-10-02,12,John Davis,Office Manager,Administration,5,3165,3.1,1.0,66.0
2024-10-02,1,John Williams,Sales Representative,Sales,7,5845,3.7,1.0,98.0
2024-10-02,7,Benjamin Garcia,Support Specialist,Customer Service,3,567,4.7,1.0,83.5
2024-10-02,5,Benjamin Garcia,Sales Manager,Sales,15,6480,3.0,1.0,80.8
2024-10-02,3,Mia Wilson,Marketing Coordinator,Marketing,1,509,3.3,1.0,70.5
2024-10-03,13,Olivia Moore,Customer Service Manager,Customer Service,5,1885,3.6,1.0,70.9
2024-10-03,4,Isabella Garcia,Shipping Coordinator,Warehouse,0,0,4.1,1.0,60.9
2024-10-03,3,Mia Wilson,Marketing Coordinator,Marketing,0,0,4.2,1.0,75.5
2024-10-03,19,James Miller,Marketing Specialist,Marketing,0,0,4.1,1.0,66.8
2024-10-03,6,Evelyn Brown,Digital Marketer,Marketing,2,866,4.3,1.0,92.2
2024-10-03,2,Alexander Martin,Receptionist,Administration,2,926,3.9,1.0,62.6
2024-10-03,5,Benjamin Garcia,Sales Manager,Sales,15,8250,4.3,1.0,65.6
2024-10-03,15,William Thompson,Office Manager,Administration,3,2007,3.0,1.0,76.8
2024-10-03,17,Isabella White,Administrative Assistant,Administration,4,2856,4.0,1.0,94.9
2024-10-03,18,Isabella Williams,Sales Associate,Sales,4,3192,3.0,1.0,88.0
2024-10-03,14,Ethan White,Warehouse Associate,Warehouse,3,1851,4.7,1.0,80.5
2024-10-03,9,Charlotte White,Administrative Assistant,Administration,3,2949,4.4,1.0,85.1
2024-10-03,8,Isabella Miller,Warehouse Manager,Warehouse,5,990,3.6,1.0,71.7
2024-10-03,7,Benjamin Garcia,Support Specialist,Customer Service,4,2440,3.2,1.0,76.5
2024-10-03,1,John Williams,Sales Representative,Sales,1,567,3.2,1.0,80.2
2024-10-03,11,Sophia Brown,Marketing Coordinator,Marketing,3,2139,3.6,1.0,69.9
2024-10-04,2,Alexander Martin,Receptionist,Administration,0,0,4.5,1.0,72.0
2024-10-04,8,Isabella Miller,Warehouse Manager,Warehouse,2,994,3.4,1.0,96.3
2024-10-04,18,Isabella Williams,Sales Associate,Sales,17,13515,4.4,1.0,99.3
